FID,Geocodigo,Nome,MoradDPPOTotChuva,MoradDPPOTotFonte,MoradDPPOTotOutra,MoradDPPOTotPipa,MoradDPPOTotPocoProfund,MoradDPPOTotPocoRaso,MoradDPPOTotRedeGeral,MoradDPPOTotRios,MoradDPPOTotTot,PercMoradDPPOTotChuva,PercMoradDPPOTotFonte,PercMoradDPPOTotOutra,PercMoradDPPOTotPipa,PercMoradDPPOTotPocoProfund,PercMoradDPPOTotPocoRaso,PercMoradDPPOTotRedeGeral,PercMoradDPPOTotRios
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b69,1504208,Marabá - PA,49,1196,2141,241,100136,56359,104711,784,265617,0.02,0.45,0.81,0.09,37.7,21.22,39.42,0.3
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b68,1504307,Maracanã - PA,2,116,239,,8562,950,15655,332,25856,0.01,0.45,0.92,,33.11,3.67,60.55,1.28
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b67,1504406,Marapanim - PA,1,60,450,,5911,1764,18085,225,26496,0,0.23,1.7,,22.31,6.66,68.26,0.85
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b66,1504422,Marituba - PA,32,33,1718,,49906,3336,55552,16,110593,0.03,0.03,1.55,,45.13,3.02,50.23,0.01
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b65,1504455,Medicilândia - PA,12,4108,82,43,3828,11325,7254,375,27027,0.04,15.2,0.3,0.16,14.16,41.9,26.84,1.39
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b64,1504505,Melgaço - PA,26,4,23,,1831,5325,2275,18230,27714,0.09,0.01,0.08,,6.61,19.21,8.21,65.78
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b63,1504604,Mocajuba - PA,,265,542,,11724,1294,11032,2263,27120,,0.98,2,,43.23,4.77,40.68,8.34
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b62,1504703,Moju - PA,51,724,726,10,21835,23583,29742,7219,83890,0.06,0.86,0.87,0.01,26.03,28.11,35.45,8.61
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b61,1504752,Mojuí dos Campos - PA,18,606,196,140,8918,2385,10832,387,23482,0.08,2.58,0.83,0.6,37.98,10.16,46.13,1.65
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b60,1504802,Monte Alegre - PA,11,549,2425,960,25794,10154,18011,2042,59946,0.02,0.92,4.05,1.6,43.03,16.94,30.05,3.41
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b5f,1504901,Muaná - PA,87,18,221,,3091,882,17346,23536,45181,0.19,0.04,0.49,,6.84,1.95,38.39,52.09
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b5e,1504950,Nova Esperança do Piriá - PA,7,365,134,,3388,13460,2842,241,20437,0.03,1.79,0.66,,16.58,65.86,13.91,1.18
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b5d,1504976,Nova Ipixuna - PA,,45,182,1,2247,8686,2352,390,13903,,0.32,1.31,0.01,16.16,62.48,16.92,2.81
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b5c,1505007,Nova Timboteua - PA,,192,43,4,1796,428,10171,138,12772,,1.5,0.34,0.03,14.06,3.35,79.64,1.08
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b5b,1505031,Novo Progresso - PA,,735,59,12,7278,8345,16938,107,33474,,2.2,0.18,0.04,21.74,24.93,50.6,0.32
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b5a,1505064,Novo Repartimento - PA,3,1054,1128,186,19173,32271,6074,718,60607,0,1.74,1.86,0.31,31.63,53.25,10.02,1.18
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b59,1505106,Óbidos - PA,43,500,254,61,22125,1951,18009,9010,51953,0.08,0.96,0.49,0.12,42.59,3.76,34.66,17.34
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b58,1505205,Oeiras do Pará - PA,10,71,94,,4809,5431,14004,9275,33694,0.03,0.21,0.28,,14.27,16.12,41.56,27.53
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b57,1505304,Oriximiná - PA,21,517,240,134,21291,1520,33174,11218,68115,0.03,0.76,0.35,0.2,31.26,2.23,48.7,16.47
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b56,1505403,Ourém - PA,2,101,117,,2381,4838,10323,74,17836,0.01,0.57,0.66,,13.35,27.12,57.88,0.41
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b55,1505437,Ourilândia do Norte - PA,14,953,42,,6355,2233,22179,655,32431,0.04,2.94,0.13,,19.6,6.89,68.39,2.02
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b54,1505486,Pacajá - PA,11,1374,885,40,7907,29125,1200,503,41045,0.03,3.35,2.16,0.1,19.26,70.96,2.92,1.23
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b53,1505494,Palestina do Pará - PA,,30,64,12,1385,556,4657,180,6884,,0.44,0.93,0.17,20.12,8.08,67.65,2.61
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b52,1505502,Paragominas - PA,17,414,201,7,14673,3931,85408,397,105048,0.02,0.39,0.19,0.01,13.97,3.74,81.3,0.38
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b51,1505536,Parauapebas - PA,63,1021,494,9752,33862,32824,189090,142,267248,0.02,0.38,0.18,3.65,12.67,12.28,70.75,0.05
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b50,1505551,Pau D'Arco - PA,2,22,39,96,1805,802,4117,37,6920,0.03,0.32,0.56,1.39,26.08,11.59,59.49,0.53
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b4f,1505601,Peixe-Boi - PA,,52,47,,1665,748,5743,25,8280,,0.63,0.57,,20.11,9.03,69.36,0.3
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1b4e,1505635,Piçarra - PA,5,67,129,403,5004,6225,853,136,12822,0.04,0.52,1.01,3.14,39.03,48.55,6.65,1.06
