FID,Geocodigo,Nome,MoradDPPOTotChuva,MoradDPPOTotFonte,MoradDPPOTotOutra,MoradDPPOTotPipa,MoradDPPOTotPocoProfund,MoradDPPOTotPocoRaso,MoradDPPOTotRedeGeral,MoradDPPOTotRios,MoradDPPOTotTot,PercMoradDPPOTotChuva,PercMoradDPPOTotFonte,PercMoradDPPOTotOutra,PercMoradDPPOTotPipa,PercMoradDPPOTotPocoProfund,PercMoradDPPOTotPocoRaso,PercMoradDPPOTotRedeGeral,PercMoradDPPOTotRios
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b17,4205100,Dona Emma - SC,3,551,4,,297,989,2362,,4206,0.07,13.1,0.1,,7.06,23.51,56.16,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b16,4205159,Doutor Pedrinho - SC,4,971,,,290,154,2213,5,3637,0.11,26.7,,,7.97,4.23,60.85,0.14
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b15,4205175,Entre Rios - SC,,752,53,8,409,1033,1147,,3402,,22.1,1.56,0.24,12.02,30.36,33.72,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b14,4205191,Ermo - SC,,272,,,568,430,982,,2252,,12.08,,,25.22,19.09,43.61,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b13,4205308,Faxinal dos Guedes - SC,,1358,9,,478,284,9059,1,11189,,12.14,0.08,,4.27,2.54,80.96,0.01
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b12,4205357,Flor do Sertão - SC,5,108,3,,212,73,1382,,1783,0.28,6.06,0.17,,11.89,4.09,77.51,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b11,4205407,Florianópolis - SC,138,18297,650,16,9064,1142,501673,1927,532907,0.03,3.43,0.12,0,1.7,0.21,94.14,0.36
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b10,4205431,Formosa do Sul - SC,13,508,2,44,561,128,1419,,2675,0.49,18.99,0.07,1.64,20.97,4.79,53.05,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b0f,4205456,Forquilhinha - SC,,30,45,11,1155,2332,27763,,31336,,0.1,0.14,0.04,3.69,7.44,88.6,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b0e,4205506,Fraiburgo - SC,2,1283,20,11,3070,802,28275,,33463,0.01,3.83,0.06,0.03,9.17,2.4,84.5,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b0d,4205555,Frei Rogério - SC,,322,1,,778,390,919,1,2411,,13.36,0.04,,32.27,16.18,38.12,0.04
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b0c,4205605,Galvão - SC,,417,,,399,230,2121,,3167,,13.17,,,12.6,7.26,66.97,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b0b,4205704,Garopaba - SC,34,2396,36,,4142,664,22195,331,29798,0.11,8.04,0.12,,13.9,2.23,74.48,1.11
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b0a,4205803,Garuva - SC,6,3376,175,1,391,90,13961,486,18486,0.03,18.26,0.95,0.01,2.12,0.49,75.52,2.63
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b09,4205902,Gaspar - SC,8,1617,25,,7218,876,62706,19,72469,0.01,2.23,0.03,,9.96,1.21,86.53,0.03
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b08,4206009,Governador Celso Ramos - SC,1,1003,5,,87,44,15747,19,16906,0.01,5.93,0.03,,0.51,0.26,93.14,0.11
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b07,4206108,Grão-Pará - SC,,2470,,,414,123,3267,3,6277,,39.35,,,6.6,1.96,52.05,0.05
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b06,4206207,Gravatal - SC,,3357,21,,1810,127,7044,,12359,,27.16,0.17,,14.65,1.03,56.99,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b05,4206306,Guabiruba - SC,10,2075,346,4,8699,625,12747,37,24543,0.04,8.45,1.41,0.02,35.44,2.55,51.94,0.15
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b04,4206405,Guaraciaba - SC,4,408,,,4240,511,5625,2,10790,0.04,3.78,,,39.3,4.74,52.13,0.02
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b03,4206504,Guaramirim - SC,,1445,9,,7769,987,36414,1,46625,,3.1,0.02,,16.66,2.12,78.1,0
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b02,4206603,Guarujá do Sul - SC,1,381,,,497,75,3867,6,4827,0.02,7.89,,,10.3,1.55,80.11,0.12
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b01,4206652,Guatambú - SC,5,1530,3,,2353,395,4134,5,8425,0.06,18.16,0.04,,27.93,4.69,49.07,0.06
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-b00,4206702,Herval d'Oeste - SC,4,539,9,,1101,59,19995,,21707,0.02,2.48,0.04,,5.07,0.27,92.11,
